sequence	uuid	sample_barcode	sample_name	plate_name	plate_well_position	germplasm_name	number_of_plants	germplasm_pedigree	germplasm_type	germplasm_par1	germplasm_par1_type	germplasm_par2	germplasm_par2_type	dnasample_sample_group	dnasample_sample_group_cycle	Submergence	Submergence.1	Drought
39	33bedc60-c971-4e5f-a879-78f7954790ca	68781633986512197205257661772819042506	XBL-167-39	Plate-44401	G05	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
40	b9d39aec-f970-49de-9bbd-4edf12a7b81b	247005896123483116816917607824532944923	XBL-167-40	Plate-44401	H05	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
41	59a3652d-d4b5-4807-b320-cdd69315506e	119149688167265949360394230082687029358	XBL-167-41	Plate-44401	A06	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
42	f28e8704-1db9-45e8-9eca-fa682eb8c943	322413219585269776494359111944822638915	XBL-167-42	Plate-44401	B06	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
43	44ee6a66-d908-4453-9035-8323228c98a1	91625428449564373065257257278133541025	XBL-167-43	Plate-44401	C06	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
44	c1f8c834-0b4c-4f17-aee7-8fed3bdc1dff	257832753412687168772296638340131462655	XBL-167-44	Plate-44401	D06	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
45	284662dd-1090-4b60-a393-4d192e31b6e6	53534585802185347801596095578663663334	XBL-167-45	Plate-44401	E06	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
46	fefdb7c4-49a5-4558-a0e5-36659cfd74da	338941289267047470114472092512584299738	XBL-167-46	Plate-44401	F06	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
47	04ed844c-fe8d-47b4-bfe7-54e63aaa3cbf	6550169716800440401612215728581786815	XBL-167-47	Plate-44401	G06	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
48	d4c44fd1-62bd-4acd-9822-7833f88948ab	282815644190278016424072828664330930347	XBL-167-48	Plate-44401	H06	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
49	27ac3d25-707c-4b2f-a26c-e84d0e9d31ba	52734207088520128132842105814877286842	XBL-167-49	Plate-44401	A07	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
50	65808b97-a399-4441-b022-2e0760af3ccd	134919472841187752919771563613490199757	XBL-167-50	Plate-44401	B07	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
51	408e1f99-af9f-4be5-9854-6dcbee3d8bed	85808538815105593610143016596650429421	XBL-167-51	Plate-44401	C07	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
52	e19cc215-4456-4fa2-8fe5-6cb2a8cd5473	299890233833941350091052503878519837811	XBL-167-52	Plate-44401	D07	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
53	21b9401b-bc9d-43b9-8dc1-097bc09e8263	44826399051479491530656853920080364131	XBL-167-53	Plate-44401	E07	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
54	d5cd5d63-c256-49a6-be08-43694de96c51	284191878126012356444312340390520384593	XBL-167-54	Plate-44401	F07	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
55	a3d08b2b-074e-4c96-a14b-9946b79bd207	217746983723523480086776556751028998663	XBL-167-55	Plate-44401	G07	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
56	f8dd6641-b093-4012-b04d-b061790301df	330798114570652845683854960463150514655	XBL-167-56	Plate-44401	H07	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
57	566df3fa-0fd5-4985-a7da-bdacf63cce7d	114884516432557500748398140484419899005	XBL-167-57	Plate-44401	A08	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
58	35065319-5b5f-453b-8bcd-4c2146716e3c	70481923006731226963251385660521672252	XBL-167-58	Plate-44401	B08	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
59	34410686-1eb1-44dd-ad68-a06fa3717c0e	69457487397150643383155061033209527310	XBL-167-59	Plate-44401	C08	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
60	9faa23cd-289f-4b98-8d80-1dccda9267f7	212230667934433964310969577327903795191	XBL-167-60	Plate-44401	D08	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
61	7e167b01-8ed3-4fe9-bd32-94bfe7dcbe8b	167599452859598909984680168585051291275	XBL-167-61	Plate-44401	E08	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
62	08754b26-9410-4dc7-a02b-673e95b2ef7a	11242846935941842804430737008787386234	XBL-167-62	Plate-44401	F08	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
63	ed0f30f3-05c6-4578-934b-248a0a291b08	315105912263794670967945261323626552072	XBL-167-63	Plate-44401	G08	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
64	343ddce2-5584-4436-a3f5-daa2ceb2cf1c	69441065951329907639434958545997713180	XBL-167-64	Plate-44401	H08	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
65	45da1c9a-2ea6-4d30-8e0c-e2db5e01fd92	92849232547363073752598798877908401554	XBL-167-65	Plate-44401	A09	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
66	2914dabf-721b-41be-9c08-e5369445ea7d	54606630497539126216976782112158247549	XBL-167-66	Plate-44401	B09	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
67	2d76ae42-e857-41d4-9490-10114fea5dcf	60431485279864094973032697091601358287	XBL-167-67	Plate-44401	C09	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
68	6d89c0cb-0ef7-4561-9c17-fca0eebdeebb	145601106520767715506818450815486652091	XBL-167-68	Plate-44401	D09	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
69	1374f68d-7529-4b21-8fe5-7dd4e5be9027	25862639035696521316576937996229447719	XBL-167-69	Plate-44401	E09	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
70	43e6348b-f135-45df-be23-933b7eecda14	90253569767716643614717997680994081300	XBL-167-70	Plate-44401	F09	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
71	937ee4c7-22c3-4e84-901c-c912e474daf8	196055384951110596176205183998718434040	XBL-167-71	Plate-44401	G09	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
72	4dbbc0a8-ef1f-4d1d-bfe8-70cc5034ade2	103325422794964496715971170751340654050	XBL-167-72	Plate-44401	H09	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
73	8248a51e-4958-4ff5-8ca0-e950e95dc543	173176833822982217805921270515330041155	XBL-167-73	Plate-44401	A10	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
